Description,Rate,Titles,Vote_count,Year
Animación. Drama. Animación para adultos. Cómic. Biográfico. Años 90. Feminismo,"7,8",Persépolis ,41.284 votos,2007
Drama. Biográfico. Siglo XIX. Pintura. Telefilm,"7,8",Edvard Munch (TV),302 votos,1974
Documental. Cine experimental,"7,8",Sin sol (Sans soleil) ,2.381 votos,1983
Drama. Amistad. Infancia. Años 40. II Guerra Mundial,"7,8","Adiós, muchachos ",13.577 votos,1987
Western. Drama. Película de culto,"7,8",Johnny Guitar ,12.437 votos,1954
Comedia. ,"7,8",En bandeja de plata ,11.987 votos,1966
Thriller. Intriga. Drama. Robos & Atracos. Película de culto,"7,8",Nueve reinas ,70.592 votos,2000
Drama. Crimen. Bandas/pandillas callejeras. Película de culto,"7,8",El odio ,29.785 votos,1995
Drama. Melodrama. Años 20,"7,8",El ángel azul ,4.990 votos,1930
Fantástico. Aventuras. Drama. Secuela. Espada y brujería. Expresionismo alemán. Cine mudo,"7,8",Los Nibelungos: la venganza de Krimilda (Los Nibelungos Parte II) ,1.401 votos,1924
Comedia. Cine mudo,"7,8",El héroe del río ,2.579 votos,1928
Drama. Romance. Drama psicológico. Drama romántico,"7,8",La noche ,3.722 votos,1961
Serie de TV. Drama. Años 20,"7,8",Berlin Alexanderplatz (Serie de TV),552 votos,1980
Drama. Dogma. Familia,"7,8",Celebración ,16.694 votos,1998
Animación. Drama. Romance. Fantástico. Drama romántico. Historias cruzadas. Adolescencia,"7,8",Your Name ,18.933 votos,2016
Drama. ,"7,8",No amarás ,4.985 votos,1988
Comedia. Cine mudo. Mediometraje,"7,8",El navegante ,3.214 votos,1924
Drama. Política. Crimen. Basado en hechos reales,"7,8",Z. ,5.028 votos,1969
Drama. Bélico. II Guerra Mundial. Infancia,"7,8",Juegos prohibidos ,2.789 votos,1952
Drama. Enfermedad. Familia,"7,8",Gritos y susurros ,8.231 votos,1972
Drama. Cine mudo. Revolución Rusa. Cine dentro del cine,"7,8",La última orden ,666 votos,1928
Drama. Romance. Aventuras. Cine mudo,"7,8",Tabú ,1.899 votos,1931
Drama. II Guerra Mundial. Holocausto. Nueva Ola Checoslovaca,"7,8",La tienda en la calle mayor ,1.174 votos,1965
Comedia. Drama. Bélico. I Guerra Mundial,"7,8",La gran guerra ,1.374 votos,1959
Drama. Romance. Drama romántico. Colonialismo,"7,8",El río ,3.431 votos,1951
Drama. Comedia. Periodismo. Cine dentro del cine,"7,8",La dolce vita ,23.782 votos,1960
Drama. Vejez. Road Movie. Basado en hechos reales. Película de culto. Cine independiente USA,"7,8",Una historia verdadera ,39.454 votos,1999
Documental. Crimen. Documental sobre Historia. Historia de Indonesia,"7,8",The Act of Killing ,6.827 votos,2012
Drama. Drama psicológico. Familia. Enfermedad,"7,8",El silencio ,3.629 votos,1963
Drama. ,"7,8",Flores de equinoccio ,691 votos,1958
Drama. Nouvelle vague. Prostitución. Cine experimental. Película de culto,"7,8",Vivir su vida ,6.468 votos,1962
Comedia. Drama. Road Movie. Sátira. Comedia dramática. Película de culto,"7,8",La escapada ,2.563 votos,1962
Bélico. Drama. I Guerra Mundial. Cine mudo,"7,8",El gran desfile ,1.409 votos,1925
Terror. Intriga. Sobrenatural. Casas encantadas. Fantasmas,"7,8",Suspense ,7.230 votos,1961
Animación. Fantástico. Aventuras. Comedia. Infancia. Familia. Cine familiar. Pixar. 3-D,"7,8",Del revés (Inside Out) ,75.578 votos,2015
Drama. Nouvelle vague. Alcoholismo. Drama psicológico,"7,8",El fuego fatuo ,2.666 votos,1963
Drama. Prostitución. Neorrealismo,"7,8",Mamma Roma ,2.874 votos,1962
Drama. Drama psicológico. Película de culto,"7,8",Sacrificio ,6.401 votos,1986
Drama. ,"7,8",Tres colores: Rojo ,18.211 votos,1994
Documental. Documental sobre cine. Orígenes del cine. Cine mudo. Siglo XIX. Años 1900 (circa),"7,8",¡Lumière! Comienza la aventura ,909 votos,2016
Drama. Enfermedad. Familia. Literatura,"7,8",Como en un espejo ,3.761 votos,1961
Drama. ,"7,8",Otoño tardío (Fin de otoño) ,1.120 votos,1960
Documental. Biográfico,"7,8",Bukowski: Born into This ,1.328 votos,2003
Romance. Drama. Drama romántico,"7,8",Hierro 3 ,30.466 votos,2004
Drama. Romance. Fantástico. Drama romántico. Pintura,"7,8",Jennie ,3.864 votos,1948
Drama. Historias cruzadas. Drama social,"7,7",Amores Perros ,74.035 votos,2000
Intriga. Comedia. Romance. Thriller. ,"7,7",Charada ,19.454 votos,1963
Drama. Romance. Años 1900 (circa). Crimen. Celos. Amistad. Melodrama. Basado en hechos reales,"7,7","París, bajos fondos ",3.349 votos,1952
Drama. Drama social. Adolescencia. Vida rural. Drama psicológico,"7,7",Mouchette ,2.409 votos,1967
Drama. Teatro. Drama psicológico. Cine independiente USA,"7,7",Noche de estreno (Opening Night) ,2.590 votos,1977
Drama. Comedia. Alzheimer. Vejez. Familia. Bodas. Discapacidad,"7,7",El hijo de la novia ,53.231 votos,2001
Drama. Religión. Pobreza. Sátira,"7,7",Nazarín ,3.400 votos,1959
Comedia. Comedia sofisticada. Comedia romántica. Robos & Atracos,"7,7",Un ladrón en la alcoba ,2.411 votos,1932
Drama. Familia. Drama psicológico. Cine independiente USA,"7,7",Una mujer bajo la influencia ,3.861 votos,1974
Drama. Intriga. Thriller. Road Movie. Familia. Guerra de Líbano,"7,7",Incendies ,19.270 votos,2010
Drama. Siglo XIX. Vida rural,"7,7",El árbol de los zuecos ,2.422 votos,1978
Drama. Neorrealismo,"7,7",Europa '51 ,2.129 votos,1952
Bélico. Drama. Adolescencia. II Guerra Mundial. Nazismo,"7,7",El puente ,2.570 votos,1959
Drama. Romance. Aventuras. Aviones. Amistad,"7,7",Sólo los ángeles tienen alas ,4.216 votos,1939
Drama. Abusos sexuales,"7,7",La caza ,31.790 votos,2012
Drama. Neorrealismo,"7,7",Los inútiles ,4.005 votos,1953
Romance. Drama. Drama psicológico. Drama romántico,"7,7",Gertrud ,3.430 votos,1964
Drama. Comedia. Comedia dramática. Cine dentro del cine,"7,7",La noche americana ,9.187 votos,1973
Drama. Familia. Enfermedad. Vejez. Alzheimer,"7,7","Nader y Simin, una separación ",16.416 votos,2011
Thriller. Drama. II Guerra Mundial. Nazismo. Propaganda. Basado en hechos reales,"7,7",Los verdugos también mueren ,2.482 votos,1943
