Description,Rate,Titles,Vote_count,Year
Drama. Secuela,"6,3",La ciudad de los muchachos ,506 votos,1941
Drama. Drama social. África. Fútbol,"6,3",Diamantes negros ,1.457 votos,2013
Drama. Biográfico,"6,3",Presidente Mitterrand (El paseante del Champ de Mars) ,358 votos,2005
Comedia. Pintura,"6,3",Un genio anda suelto ,229 votos,1958
Comedia. Comedia negra,"6,3",La perdición de los hombres ,507 votos,2000
Drama. Adolescencia,"6,3",Paraíso: Esperanza ,1.131 votos,2013
Drama. Política,"6,3",Viva la libertad ,2.584 votos,2013
Drama. ,"6,3",Júlia ist ,1.365 votos,2017
Drama. ,"6,3",El cuchillo en la cabeza ,57 votos,1979
Drama. Basado en hechos reales. Crimen. Telefilm,"6,3",Shock Waves: Diario de mi mente (TV),84 votos,2018
Drama. Adolescencia. Colegios & Universidad. Años 70,"6,3",Neds (No educados y delincuentes) ,5.239 votos,2010
Drama. Prehistoria,"6,3","Ötzi, el hombre de hielo ",121 votos,2017
Acción. Aventuras. Drama. Romance. Robos & Atracos. Cine independiente USA,"6,3",La indecente Mary y Larry el loco ,192 votos,1974
Drama. Cine dentro del cine. Años 1900 (circa). Años 1910-1919,"6,3","Good Morning, Babilonia ",930 votos,1986
Drama. Romance. Melodrama,"6,3",La casa de los espíritus ,11.580 votos,1993
Documental. Cine experimental,"6,3",Ensayo final para utopía ,102 votos,2012
Drama. Terrorismo. ETA. Amistad,"6,3",El hijo del acordeonista ,68 votos,2018
Acción. Thriller. Película de culto,"6,3","Nikita, dura de matar ",16.376 votos,1990
Drama. ,"6,3",Corazón puro ,150 votos,2017
Drama. Comedia. Romance. Música. Años 50. Cómic. Realismo mágico,"6,3",Pollo con ciruelas ,2.390 votos,2011
Drama. Comedia. Homosexualidad. Comedia dramática,"6,3",Azul y no tan rosa ,939 votos,2012
Documental. Enfermedad,"6,3",Desconectados ,41 votos,2010
Documental. Política,"6,3",En la piel de Jacques Chirac ,106 votos,2006
Aventuras. Drama. Romance. Drama romántico. Guerra Civil Española,"6,3",Por quién doblan las campanas ,2.785 votos,1943
Drama. Siglo XVII,"6,3",Palabra y utopía ,213 votos,2000
Aventuras. Edad Media. Siglo XVI. Secuestros / Desapariciones,"6,3",Los señores del acero ,4.803 votos,1985
Drama. Inmigración,"6,3",Amerrika ,2.078 votos,2009
Animación. Comedia. Intriga. Adolescencia. Precuela,"6,3",El caso de Hana y Alice ,418 votos,2015
Cine negro. Drama. Crimen. Periodismo,"6,3","Danzad, locos, danzad ",76 votos,1931
Drama. Años 30. Cine dentro del cine,"6,3",El último magnate ,1.657 votos,1976
Cine negro. Intriga. Drama. Crimen. Remake,"6,3",La noche eterna ,301 votos,1947
Intriga. Guerra Fría. Espionaje,"6,3",Gorky Park ,1.601 votos,1983
Bélico. II Guerra Mundial,"6,3","Sangre, sudor y lágrimas ",500 votos,1942
Comedia. Romance. Comedia romántica,"6,3",El príncipe y la corista ,2.851 votos,1957
Drama. Road Movie,"6,3",Nuestro día llegará ,1.059 votos,2010
Drama. África. Basado en hechos reales,"6,3",Los caballeros blancos ,488 votos,2015
Western. Drama. Amistad. Siglo XIX. Enfermedad. Discapacidad,"6,3",Deuda de honor ,4.932 votos,2014
Western. Años 1910-1919,"6,3",Llegaron a Cordura ,654 votos,1959
Intriga. Terror. Thriller. Sherlock Holmes,"6,3",La perla maldita ,313 votos,1944
Drama. Bélico. Histórico. Nazismo. Basado en hechos reales,"6,3",La fuga de Colditz ,81 votos,1955
Drama. Política,"6,3",El ejercicio del poder ,665 votos,2011
Drama. Siglo XVII. Religión. Japón feudal,"6,3",Silencio ,11.998 votos,2016
Bélico. Drama. II Guerra Mundial. Ejército. Aviones. Amistad,"6,3",Memphis Belle ,2.765 votos,1990
Comedia. ,"6,3",El imperio del león ,103 votos,1988
Fantástico. Musical. Cuentos,"6,3",El pequeño gigante ,224 votos,1958
Comedia. Drama. ,"6,3",La edad de la ignorancia ,2.376 votos,2007
Comedia. Drama. Remake. Comedia dramática. Infancia. Familia. Cine dentro del cine,"6,3",Mañana empieza todo ,4.218 votos,2016
Thriller. Crimen. Vida rural,"6,3",Coup de chaud ,89 votos,2015
Drama. ,"6,3",Yo ,1.001 votos,2007
Drama. ,"6,3",Aleksandra ,678 votos,2007
Drama. Drama de época. Melodrama. Años 20,"6,3",La luz entre los océanos ,3.277 votos,2016
Romance. Drama. Drama romántico,"6,3",Copia certificada ,5.732 votos,2010
Comedia. Baile. Cortometraje,"6,3",Timecode (C),2.176 votos,2016
Serie de TV. Animación. Infantil. Divulgativo/Educativo,"6,3",Érase una vez... los exploradores (Serie de TV),1.977 votos,1996
Drama. Intriga. Melodrama. Familia,"6,3",Tacones lejanos ,13.487 votos,1991
Comedia. Comedia negra. Medicina,"6,3",Anatomía de un hospital ,270 votos,1971
Comedia. ,"6,3",Prométeme ,1.715 votos,2007
Drama. Crisis económica 2008. Drama social. Trabajo/empleo,"6,3",Hermosa juventud ,3.521 votos,2014
Documental. Inmigración. África,"6,3",La puerta de no retorno ,76 votos,2011
Drama. Vejez,"6,3",El bosque del luto ,1.098 votos,2007
Drama. Biográfico. Pintura. Homosexualidad,"6,3",El amor es el demonio. Estudio para un retrato de Francis Bacon ,638 votos,1998
Comedia. Fantástico. Adolescencia. Amistad,"6,3",Kamikaze Girls ,861 votos,2004
Drama. Comedia. ,"6,3",Nuestros adorables niños (Nuestros queridos hijos) ,91 votos,2003
Documental. Documental sobre música. Feminismo,"6,3",Pussy Riot: Una plegaria punk ,622 votos,2013
Comedia. Drama. Romance. Familia. Homosexualidad. Comedia romántica,"6,3",Tengo algo que deciros ,3.032 votos,2010
Drama. Romance. Siglo XVII. Teatro,"6,3",Belleza prohibida (Stage Beauty) ,1.802 votos,2004
Drama. Cine negro. Crimen. Drama social,"6,3",Infierno negro ,66 votos,1935
Terror. Thriller. Drama. Familia. Años 60. Vida rural (Norteamérica),"6,3",El secreto de Marrowbone ,13.065 votos,2017
Drama. Años 60,"6,3",Mamá está en la peluquería ,652 votos,2008
Comedia. Intriga. Romance. Crimen. Comedia romántica,"6,3",La gran aventura de Silvia ,1.050 votos,1935
Documental. Inmigración. Vida rural,"6,3",Fuego en el mar ,671 votos,2016
Drama. ,"6,3",Sueños del desierto ,148 votos,2007
Thriller. Intriga. Comedia. Comedia negra. Robos & Atracos. Crimen,"6,3",Obra 67 ,3.248 votos,2013
Drama. Basado en hechos reales. Dictadura uruguaya,"6,3",Migas de pan ,180 votos,2016
Drama. Drama de época. Histórico. Siglo XVII. Biográfico. Cocina,"6,3",Vatel ,2.799 votos,2000
Drama. Infancia. Vida rural,"6,3",Miel ,1.036 votos,2010
Documental. Documental sobre música,"6,3",Luz de agosto en Gijón ,64 votos,2017
Terror. Thriller. Siglo XVIII,"6,3","Bedlam, hospital psiquiátrico ",461 votos,1946
Drama. Familia,"6,3",Entre los dos ,276 votos,2015
Romance. Drama. Drama romántico. Discapacidad,"6,3",El corazón ausente ,304 votos,2003
Drama. Biográfico. Baile. Política,"6,3",El último bailarín de Mao ,3.042 votos,2009
Romance. Drama. Erótico. Drama romántico,"6,3",Delicias turcas ,1.850 votos,1973
Drama. Biográfico. Años 1900 (circa). Años 1910-1919. Años 20. Años 30. Años 40. Años 50. Homosexualidad,"6,3",Kinsey ,6.131 votos,2004
Aventuras. Siglo XVIII. América colonial,"6,3",El último mohicano ,119 votos,1936
Drama. Celos. Jazz,"6,3",Noche de pesadilla ,50 votos,1962
Drama. Guerra de Iraq,"6,3",Ahlaam (Sueños) ,150 votos,2005
Drama. ,"6,3",El coronel Macià ,320 votos,2006
Drama. Thriller. Política. Bolsa & Negocios. Crisis económica 2008,"6,3",El capital ,5.777 votos,2012
Drama. ,"6,3",Huevo ,340 votos,2007
Comedia. ,"6,3",Boeing Boeing ,267 votos,1965
Documental. Documental sobre cine. Biográfico,"6,3",El último guión. Buñuel en la memoria ,271 votos,2008
Comedia. Drama. Familia. Homosexualidad. Inmigración,"6,3",Sasha ,155 votos,2010
Comedia. Musical. Años 50,"6,3",8 mujeres ,5.070 votos,2002
Drama. Romance. Historias cruzadas,"6,3",París ,2.128 votos,2008
Drama. Biográfico. Años 40. Literatura. Realismo mágico,"6,3",Neruda ,3.002 votos,2016
Comedia. ,"6,3",Un americano... de Roma ,241 votos,1954
Comedia. Drama. Sátira. Comedia negra. Televisión,"6,3",Todo por un sueño ,7.102 votos,1995
Comedia. Drama. Adolescencia. Naturaleza. Cine independiente USA,"6,3",Los reyes del verano ,5.508 votos,2013
Documental. Enseñanza. Feminismo,"6,3",Las maestras de la República ,668 votos,2013
Bélico. Drama. II Guerra Mundial. Años 40,"6,3",1944 ,1.594 votos,2015
Drama. ,"6,3","Hamlet, el honor de la venganza ",3.576 votos,1990
Drama. Familia,"6,3",Nahid ,604 votos,2015
Comedia. Drama. ,"6,3",Millonario de ilusiones ,663 votos,1959
Comedia. Comedia romántica,"6,3",Cuando llegue septiembre ,983 votos,1961
Intriga. Aventuras. Espionaje,"6,3",Arabesco ,2.178 votos,1966
Drama. Biográfico. Pintura. Siglo XIX,"6,3",Mr. Turner ,4.651 votos,2014
Romance. Drama. Nouvelle vague. Drama psicológico,"6,3",Las relaciones peligrosas ,171 votos,1959
Drama. Edad Media,"6,3",Macbeth ,8.555 votos,2015
Comedia. Drama. ,"6,3",Out of Nature ,243 votos,2014
Drama. Romance. Comedia. Homosexualidad. Racismo. Inmigración,"6,2",Mi hermosa lavandería ,3.672 votos,1985
Animación. Thriller. Gatos,"6,2",Un gato en París ,1.343 votos,2010
Intriga. Terror. ,"6,2",Terror ciego ,775 votos,1971
Intriga. Sherlock Holmes,"6,2",Vestida para un asesinato ,703 votos,1946
Comedia. ,"6,2",El terror de las chicas ,920 votos,1961
Animación. Thriller. Drama. Crimen. Religión. Vida rural. Animación para adultos,"6,2",The Fake ,1.297 votos,2013
Drama. Romance. Melodrama. Cine dentro del cine. Discapacidad,"6,2",Los abrazos rotos ,24.574 votos,2009
Drama. Fantástico. Animales. Surrealismo. Road Movie,"6,2",Bella y perdida ,141 votos,2015
Drama. Melodrama,"6,2",Las razones del corazón ,316 votos,2011
Ciencia ficción. Cortometraje,"6,2",Protopartículas (C),523 votos,2009
Musical. Drama. Baile,"6,2",Dantza ,146 votos,2018
Drama. Homosexualidad. Prostitución,"6,2",Strapped ,211 votos,2010
Comedia. Drama. Romance. Comedia romántica. Drama romántico,"6,2",2 días en París ,6.149 votos,2007
Bélico. II Guerra Mundial. Nazismo. Propaganda,"6,2",Días de gloria ,623 votos,1944
Drama. Nazismo,"6,2",El hombre de la cabina de cristal ,168 votos,1975
Comedia. Romance. Secuela,"6,2",El padre es abuelo ,1.269 votos,1951
Documental. Pintura,"6,2",El cuaderno de barro ,267 votos,2011
Documental. ,"6,2",Speed: en busca del tiempo perdido ,37 votos,2012
Drama. ,"6,2",Cenizas del cielo ,1.624 votos,2008
Drama. Crisis económica 2008. Pobreza,"6,2",Boy Eating the Bird's Food ,358 votos,2012
Comedia. Drama. Romance. Secuela. Amistad. Familia. Comedia dramática. Comedia romántica,"6,2",Nueva vida en Nueva York ,2.585 votos,2013
Drama. Alcoholismo,"6,2",Factotum ,4.759 votos,2005
Terror. Fantástico. Sobrenatural. Fantasmas. Venganza,"6,2",La niebla ,6.960 votos,1980
Documental. ,"6,2",Pizarro ,33 votos,2016
Aventuras. Drama. Cine negro. Revolución Francesa. Histórico. Siglo XVIII,"6,2",El reinado del terror ,231 votos,1949
Drama. ,"6,2",Rompecabezas ,603 votos,2009
Comedia. Thriller. Comedia negra. Bodas,"6,2",Very Bad Things ,15.098 votos,1998
Drama. Comedia. Deporte. Fútbol. Película de episodios,"6,2",Historias de fútbol ,287 votos,1997
Western. Drama. Amistad,"6,2",Sangre en la luna ,362 votos,1948
Drama. Familia,"6,2",Todo lo que tú quieras ,2.988 votos,2010
Drama. Comedia. Amistad. Historias cruzadas. Comedia dramática,"6,2",Verano en Berlín ,1.680 votos,2005
Comedia. Musical. ,"6,2",Cómo triunfar sin dar golpe ,88 votos,1967
Drama. ,"6,2",Una película hablada ,1.287 votos,2003
Terror. Hombres lobo,"6,2",La maldición del hombre lobo ,993 votos,1961
Aventuras. Comedia. Drama. Infancia. II Guerra Mundial. Remake,"6,2",La guerra de los botones ,3.704 votos,2011
Western. Cine mudo,"6,2",El hijo de la pradera ,55 votos,1925
Intriga. Thriller. Drama. Crimen,"6,2",Beast ,989 votos,2017
Drama. Bélico. II Guerra Mundial. Infancia,"6,2",Secretos de guerra ,921 votos,2014
Comedia. Pintura,"6,2",Las aventuras de Picasso ,73 votos,1978
Drama. Drogas. Crimen. Robos & Atracos. Cine independiente USA,"6,2",Al final del edén ,1.462 votos,1998
Drama. Basado en hechos reales. Años 30. Política,"6,2",Jimmy's Hall ,1.534 votos,2014
Drama. Radio. Años 80. Terrorismo,"6,2",La última noticia ,65 votos,2015
Serie de TV. Animación. Infantil. Divulgativo/Educativo,"6,2",Érase una vez... el espacio (Serie de TV),3.419 votos,1982
Drama. Cine independiente USA,"6,2",Permanent Vacation ,1.842 votos,1980
Drama. Música. Años 80. Años 90. Adolescencia,"6,2",Eden: Lost in music ,1.347 votos,2014
Documental. Sectas,"6,2",The Institute ,35 votos,2013
Drama. Comedia. Comedia dramática. Ópera. Años 20,"6,2",Madame Marguerite ,1.455 votos,2015
Drama. Comedia. Road Movie,"6,2",North ,171 votos,2009
Drama. ,"6,2",A Way of Life (Un modo de vida) ,101 votos,2004
Acción. Aventuras. Drama. Thriller. Amistad. Robos & Atracos,"6,2","Adiós, amigo ",396 votos,1968
Comedia. Inmigración,"6,2",Un italiano en la Argentina ,119 votos,1965
Drama. Thriller. Aventuras marinas,"6,2",Misterio en el barco perdido ,531 votos,1959
Comedia. Drama. Romance. Amistad. Comedia dramática. Secuela,"6,2",Las muñecas rusas ,4.826 votos,2005
Comedia. Secuela,"6,2",El regreso de Don Camilo ,155 votos,1953
Intriga. Thriller. Crimen. Sherlock Holmes,"6,2",Sherlock Holmes y la mujer araña ,355 votos,1944
Drama. Comedia. Enfermedad. Vejez,"6,2",Una canción para Marion ,942 votos,2012
Drama. ,"6,2",Vivir para vivir ,147 votos,1967
Drama. Musical. ,"6,2",Johanna ,67 votos,2005
Bélico. I Guerra Mundial. Aviones. Basado en hechos reales,"6,2",El Barón Rojo ,1.078 votos,1971
Documental. Cortometraje,"6,2",Paralelo 10 (C),45 votos,2006
Documental. ,"6,2",La Maleta de Marta ,90 votos,2013
Drama. Basado en hechos reales. Años 50,"6,2",Bailar con un extraño ,329 votos,1985
Comedia. Drama. Infancia,"6,2",Abel ,1.022 votos,2010
Drama. Comedia. Comedia negra. Vejez. Familia,"6,2",Nacidas para sufrir ,1.543 votos,2009
Drama. Mafia,"6,2",Gomorra ,23.451 votos,2008
Drama. Siglo XIX. Drama romántico. Drama de época,"6,2",Amour Fou ,335 votos,2014
Drama. Familia,"6,2",Después de nosotros ,1.558 votos,2016
Thriller. Juego. Crimen. Mafia,"6,2",Point Blank ,88 votos,2016
Thriller. Intriga. Thriller psicológico. Comedia negra. Cine independiente USA,"6,2",El perfecto anfitrión ,7.540 votos,2010
Acción. Comedia. Crimen. Yakuza & Triada. Béisbol,"6,2",Boiling Point ,2.076 votos,1990
Drama. Años 70,"6,2",Cartas de la guerra ,261 votos,2016
Drama. Drama romántico. Familia,"6,2",Perder la razón ,1.260 votos,2012
Drama. Romance. Drama romántico,"6,2",En las nubes (En el séptimo cielo) ,588 votos,2008
Drama. Religión,"6,2",El crimen del padre Amaro ,11.659 votos,2002
Comedia. Drama. Comedia dramática,"6,2",Silencio de amor ,1.129 votos,2011
Bélico. II Guerra Mundial. Histórico,"6,2",La decisión del rey ,1.091 votos,2016
Bélico. Drama. I Guerra Mundial. Biográfico. Histórico,"6,2",Regeneration ,213 votos,1997
Drama. Comedia. Comedia dramática,"6,2",Todas las mujeres ,2.895 votos,2013
Fantástico. Drama. Infancia. Familia. Drama psicológico. Cine familiar. Secuela,"6,2",El regreso de la mujer pantera ,669 votos,1944
Documental. Cómic. Documental sobre Historia,"6,2",Historias de Bruguera ,38 votos,2012
Intriga. Drama. ,"6,2",Nieve que quema ,290 votos,1978
Comedia. Drama. ,"6,2",Perro ,86 votos,2017
Drama. Biográfico. Basado en hechos reales. Dictadura argentina. Años 70,"6,2",Verdades verdaderas. La vida de Estela ,301 votos,2011
Documental. Documental sobre música,"6,2",Un lloc on caure mort ,67 votos,2014
Animación. Terror. Perros/Lobos. Stop Motion. Animación para adultos. Cortometraje (animación),"6,2",Canis ,225 votos,2013
Cine negro. Thriller. Intriga. ,"6,2",Las fronteras del crimen ,365 votos,1951
Drama. Ballet. Homosexualidad. Baile. Drama romántico,"6,2",Five Dances ,202 votos,2012
Fantástico. Intriga. Sobrenatural. Fantasmas. Secuela,"6,2",La mujer fantasma (El regreso de Topper) ,202 votos,1941
Documental. ,"6,2",La llista Falciani ,63 votos,2015
Drama. Hip Hop. Drogas. Discapacidad. Drama social. Música,"6,2",El truco del manco ,7.594 votos,2008
Comedia. Años 80. Béisbol. Deporte. Colegios & Universidad. Comedia juvenil. Cine independiente USA,"6,2",Todos queremos algo ,6.251 votos,2016
Thriller. Crimen. Venganza. Neo-noir. Cine independiente USA,"6,2",Blue Ruin ,7.649 votos,2013
Terror. Fantástico. Sobrenatural. Insectos. Película de culto,"6,2",Phenomena ,2.744 votos,1985
Drama. ,"6,2",Doble sacrificio ,294 votos,1932
Intriga. Sherlock Holmes,"6,2",Sherlock Holmes: persecución en Argel ,280 votos,1945
Thriller. Yakuza & Triada,"6,2",Outrage ,3.483 votos,2010
Drama. Comedia. Biográfico,"6,2",Erik Nietzsche ,59 votos,2007
Drama. Deporte. Esgrima. Años 50,"6,2",La clase de esgrima ,1.228 votos,2015
Thriller. Espionaje,"6,2",Nueva moda en el crimen ,74 votos,1974
Bélico. Drama. II Guerra Mundial. Biográfico. Holocausto,"6,2",En nombre de todos los míos ,84 votos,1983
Western. ,"6,2",Más allá de Río Grande ,456 votos,1959
Musical. Terror. Ballet. Vampiros. Cine mudo,"6,2",Dracula: Pages From a Virgin's Diary ,513 votos,2002
Documental. ,"6,2",Aguaviva ,85 votos,2006
Drama. Familia,"6,2",Tres días con la familia ,3.739 votos,2009
Ciencia ficción. Terror. Thriller. Insectos. Película de culto,"6,2",Sucesos en la cuarta fase ,817 votos,1974
Bélico. II Guerra Mundial,"6,2",Mercenarios sin gloria ,544 votos,1968
Bélico. II Guerra Mundial,"6,2",La brigada del diablo ,903 votos,1968
Documental. Documental sobre música. Telefilm. Biográfico,"6,2",Papagordo. En casa de Raimundo Amador (TV),91 votos,2011
Drama. Inmigración,"6,2",Nuevo mundo ,587 votos,2006
Animación. Infantil. Naturaleza. Animales. África. Secuela,"6,2",Kirikú y las bestias salvajes ,892 votos,2005
Drama. Homosexualidad,"6,2",La herida (The Wound) ,528 votos,2017
Animación. Terror. Surrealismo. Cine experimental. Cortometraje (animación),"6,2",Topo glassato al cioccolato (C),66 votos,2011
Drama. ,"6,2",Inquietud ,189 votos,1997
Ciencia ficción. Holocausto nuclear. Futuro postapocalíptico,"6,2",Kamikaze 1999 (El último combate) ,774 votos,1983
Documental. ,"6,2","Cola, Colita, Colassa (Oda a Barcelona) ",77 votos,2015
Documental. Drama. Deporte. Fútbol,"6,2",O futebol ,304 votos,2015
Comedia. ,"6,2",Las tres noches de Susana ,67 votos,1954
Intriga. Thriller psicológico,"6,2",Hermanas ,1.683 votos,1973
Comedia. Drama. Comedia dramática. Familia. Infancia. Cine dentro del cine,"6,2",No se aceptan devoluciones ,4.538 votos,2013
Drama. Bélico. Acción. Histórico. Biográfico. II Guerra Mundial,"6,2",Max Manus ,1.378 votos,2008
Comedia. Submarinos. Guerra Fría,"6,2",¡Que vienen los rusos! ,1.212 votos,1966
Drama. Road Movie. Historias cruzadas,"6,2",Sud Express ,359 votos,2006
Terror. Comedia. Comedia de terror,"6,2",La comedia de los horrores ,1.239 votos,1963
Thriller. Política,"6,2",Sé quién eres ,1.596 votos,2000
Drama. Comedia. Romance. Comedia romántica. Años 30,"6,2",A Good Woman ,4.299 votos,2004
Drama. Bodas. Familia,"6,2",Llenar el vacío ,423 votos,2012
Romance. Comedia. Comedia romántica,"6,2",La delicadeza ,6.377 votos,2011
Terror. Drama. Religión. Vampiros. Enfermedad. Drama romántico,"6,2",Thirst ,3.953 votos,2009
Drama. ,"6,2",El muchacho de los cabellos verdes ,410 votos,1948
Comedia. Drama. Biográfico. Música. Falso documental,"6,2",I'm Still Here ,5.907 votos,2010
Documental. Histórico. Holocausto,"6,2",La nación muerta ,58 votos,2017
Terror. Drama. Vampiros. Drama psicológico,"6,2",Martin ,784 votos,1978
Drama. ,"6,2",La vida útil ,588 votos,2010
Drama. Drama romántico,"6,2",El amor manda ,53 votos,1938
Drama. Comedia. Comedia negra. Crisis económica 2008. Política. Teatro,"6,2",El rey tuerto ,3.123 votos,2016
Drama. Secuestros / Desapariciones. Familia,"6,2","Mi hija, mi hermana ",1.029 votos,2015
Documental. Política,"6,2",Cataluña Espanya ,193 votos,2009
Comedia. Celos,"6,2",Celos a la italiana ,236 votos,1964
Drama. Histórico. Terrorismo. Años 60,"6,2","Si no nosotros, ¿quién? ",376 votos,2011
Comedia. Cine dentro del cine,"6,2",Un espía en Hollywood ,312 votos,1961
Aventuras. Animales. Perros/Lobos. Cine familiar,"6,2",Belle y Sebastián ,611 votos,2013
Comedia. Romance. Comedia romántica,"6,2",Usted primero ,1.105 votos,2003
Western. Acción. Bélico. Ejército. Esclavitud. Histórico. Guerra de Secesión,"6,2",Camino de Santa Fe ,1.009 votos,1940
Drama. Drogas,"6,2",Sumas y restas ,754 votos,2004
Thriller. Drama. Perros/Lobos,"6,2",Red ,1.325 votos,2008
Romance. Cine independiente USA,"6,2",Almost in Love ,110 votos,2013
Drama. ,"6,2",Las bordadoras ,341 votos,2004
Drama. Homosexualidad,"6,2",Un monstruo en mi puerta ,721 votos,2014
Comedia. Años 1910-1919,"6,2",Inconscientes ,3.761 votos,2004
Drama. Discapacidad,"6,2",Vivir y otras ficciones ,364 votos,2016
Terror. Comedia. Ciencia ficción. Fantástico. Comedia de terror. Parodia. Zombis. Película de culto. Cine independiente USA,"6,2",El regreso de los muertos vivientes ,3.188 votos,1985
Drama. Comedia. ,"6,2",Un feliz acontecimiento ,1.600 votos,2011
Aventuras. Piratas. Siglo XVII. Aventuras marinas,"6,2",El pirata Barbanegra ,1.063 votos,1952
Drama. ,"6,2",La sal de este mar ,724 votos,2008
Comedia. Drama. Comedia negra,"6,2",Cinco días sin Nora ,696 votos,2009
Drama. Biográfico. Baile. Guerra Fría. Años 60. Ballet,"6,2",El bailarín ,298 votos,2018
Comedia. Romance. Comedia romántica,"6,2",El doctor se casa ,90 votos,1940
Cine negro. Intriga. Romance. ,"6,2",Muerte al amanecer ,79 votos,1946
Drama. Vida rural,"6,2",El último viaje del juez Feng ,604 votos,2006
Drama. Biográfico. Histórico. Siglo XVIII. Ópera,"6,2","Farinelli, il castrato ",3.021 votos,1994
Terror. Thriller. Sobrenatural,"6,2",La autopsia de Jane Doe ,10.674 votos,2016
Western. ,"6,2",Annie Oakley ,273 votos,1935
Serie de TV. Drama. Acción. Miniserie de TV. Histórico. Volcanes,"6,2",Los últimos días de Pompeya (Miniserie de TV),131 votos,1984
Drama. Adolescencia,"6,2",Gorriones ,1.285 votos,2015
Documental. Documental sobre música,"6,2",El fulgor ,126 votos,2002
Drama. Historias cruzadas,"6,2",Masaan ,660 votos,2015
Bélico. Drama. Basado en hechos reales. II Guerra Mundial. Supervivencia. Histórico. Amistad. Años 40,"6,2",Perdidos en la nieve ,1.866 votos,2012
Documental. Crimen. Asesinos en serie,"6,2","Arropiero, el vagabundo de la muerte ",259 votos,2008
Western. ,"6,2",Un rey para cuatro reinas ,553 votos,1956
Animación. Infantil. Animales,"6,2",El bosque de Haquivaqui ,35 votos,2016
Drama. Años 80. Terrorismo,"6,2",Una historia de locos ,480 votos,2015
Drama. Thriller. Guerra de Iraq,"6,2",Route Irish ,1.392 votos,2010
Documental. Divulgativo/Educativo. Cocina,"6,2",How to Cook Your Life (Cómo cocinar tu vida) ,165 votos,2007
Drama. Aventuras marinas. Años 30. Nazismo,"6,2",El viaje de los malditos ,714 votos,1976
Comedia. Drama. Familia. Comedia negra,"6,2",Eva Van End ,113 votos,2012
Thriller. Drama. Crimen. Secuela,"6,2",Redención (Los casos del Departamento Q) ,2.832 votos,2016
Thriller. Drama. Neo-noir. Años 30. Gran Depresión. Basado en hechos reales. Familia,"6,2",Sin ley (Lawless) ,7.348 votos,2012
Western. Spaghetti Western,"6,2",Keoma ,658 votos,1976
Drama. Romance. Telefilm,"6,2",El Café de la Marina (TV),102 votos,2014
Documental. Cocina,"6,2","Entre les Bras: Michel Bras, la herencia de la cocina ",42 votos,2012
Drama. Cine experimental. Vida rural,"6,2",Arraianos ,384 votos,2012
Intriga. Terror. Sherlock Holmes,"6,2",Sherlock Holmes desafía a la muerte (Desafiando la Muerte) ,301 votos,1943
Drama. Comedia. Comedia dramática,"6,2",La buena vida ,1.097 votos,2008
Thriller. Drama. Policíaco. Crimen. África. Racismo,"6,2",Zulu ,2.812 votos,2013
Drama. Bélico. Aviones,"6,2",El gran Mitchell ,67 votos,1942
Terror. Thriller. Intriga. Slasher. Navidad. Asesinos en serie,"6,2",Navidades negras ,1.265 votos,1974
Comedia. Medicina. Comedia absurda,"6,2",Caso clínico en la clínica ,391 votos,1964
Drama. Amistad. Adolescencia. Familia. Cine independiente USA,"6,2",Verano en Brooklyn (Little Men) ,2.286 votos,2016
Drama. Adolescencia. Familia. Televisión. Vida rural,"6,2",El país de las maravillas ,1.363 votos,2014
Comedia. Drama. Romance. Amistad. Comedia romántica. Comedia dramática. Cine independiente USA,"6,2",El amigo de mi hermana ,5.432 votos,2011
Aventuras. Drama. Basado en hechos reales. Biográfico. Road Movie. Años 70,"6,2",El viaje de tu vida ,3.202 votos,2013
Terror. Intriga. Romance. ,"6,2",Marea nocturna ,266 votos,1961
Drama. ,"6,2","Baxter, Vera Baxter ",96 votos,1977
Drama. Bélico. ,"6,2",Entre dos fuegos ,32 votos,1963
Comedia. Drama. Música. Adolescencia,"6,2",Aquello que amamos ,141 votos,2009
Comedia. Romance. Comedia romántica,"6,2",Cuidado con el mayordomo ,167 votos,1967
Documental. Mediometraje. Documental sobre música,"6,2",Las más macabras de las vidas ,45 votos,2014
Drama. ,"6,2",9 olas ,45 votos,2013
Drama. Pesca. Familia,"6,2",Días de pesca en Patagonia ,817 votos,2012
Drama. Romance. Homosexualidad. Amistad. Drogas. Años 90. Drama romántico. Cine independiente USA,"6,2",Keep the Lights On ,1.130 votos,2012
Cine negro. Thriller psicológico. Serie B,"6,2",Acosados ,123 votos,1946
Animación. Fantástico. Drama. ,"6,2",Princesa Arete ,149 votos,2001
Drama. Película de episodios,"6,2",Centro Histórico ,371 votos,2012
Drama. Comedia. Biográfico,"6,2",Llámame Peter ,2.604 votos,2004
Comedia. Drama. Adolescencia,"6,2",Podslon (Shelter) ,105 votos,2010
Comedia. Drama. ,"6,2",Chicago Cab ,205 votos,1998
Drama. Romance. Vida rural. Historias cruzadas. Realismo mágico,"6,2",Obaba ,7.657 votos,2005
Comedia. Drama. Romance. Comedia romántica. Cine independiente USA,"6,2",Mucho ruido y pocas nueces ,1.425 votos,2012
Terror. Thriller. Siglo XIX. Gatos. Serie B,"6,2",La tumba de Ligeia ,945 votos,1964
Western. Venganza. Película de culto. Cine independiente USA. Serie B,"6,1",El tiroteo ,765 votos,1966
Bélico. II Guerra Mundial. Biográfico,"6,1",La batalla por Sebastopol ,1.830 votos,2015
