Description,Rate,Titles,Year
Drama. ,"6,3",La espectadora ,2004
Thriller. Robos & Atracos. Basado en hechos reales. Trenes/Metros,"6,3",Robbery (El gran robo) ,1967
Drama. Comedia dramática,"6,3",María (y los demás) ,2016
Comedia. ,"6,3",El imperio del león ,1988
Drama. Bélico. Histórico. Nazismo. Basado en hechos reales,"6,3",La fuga de Colditz ,1955
Drama. Comedia. Fantástico. Comedia dramática,"6,3",Air Doll (Muñeca de aire) ,2009
Documental. ,"6,3",Print the Legend (La revolución en 3D) ,2014
Cine negro. Intriga. Drama. Crimen. Remake,"6,3",La noche eterna ,1947
Drama. Secuela,"6,3",La ciudad de los muchachos ,1941
Drama. ,"6,3",Júlia ist ,2017
Comedia. Fantástico. Musical. Comedia negra. Fantasmas. Crimen. Realismo mágico,"6,3",Un hada llamada Liza ,2015
Drama. Biográfico,"6,3",Presidente Mitterrand (El paseante del Champ de Mars) ,2005
Drama. Guerra Civil de El Salvador. Biográfico. Histórico,"6,3","Romero, el santo del pueblo ",1989
Drama. Años 40. Erótico. Esclavitud. Homosexualidad. Película de culto,"6,3","Saló, o los 120 días de Sodoma ",1975
Documental. Documental sobre música,"6,3",Bajarí ,2012
Documental. Documental sobre música. Conciertos,"6,3",Escenario móvil ,2004
Drama. Drama social. África. Fútbol,"6,3",Diamantes negros ,2013
Drama. Familia,"6,3",Fuerza mayor ,2014
Drama. Adolescencia. Colegios & Universidad. Años 70,"6,3",Neds (No educados y delincuentes) ,2010
Comedia. Comedia dramática,"6,3","Zoran, mi sobrino tonto ",2013
Cine negro. ,"6,3",El gran robo ,1949
Drama. Política,"6,3",Viva la libertad ,2013
Drama. Años 30. Cine dentro del cine,"6,3",El último magnate ,1976
Animación. Comedia. Intriga. Adolescencia. Precuela,"6,3",El caso de Hana y Alice ,2015
Cine negro. Drama. Crimen. Periodismo,"6,3","Danzad, locos, danzad ",1931
Drama. ,"6,3",The Place: El precio de un deseo ,2017
Drama. Adolescencia,"6,3",Paraíso: Esperanza ,2013
Drama. Romance. Melodrama,"6,3",La casa de los espíritus ,1993
Drama. Basado en hechos reales. Crimen. Telefilm,"6,3",Shock Waves: Diario de mi mente (TV),2018
Bélico. II Guerra Mundial,"6,3","Sangre, sudor y lágrimas ",1942
Drama. Comedia. Romance. Música. Años 50. Cómic. Realismo mágico,"6,3",Pollo con ciruelas ,2011
Aventuras. Drama. Romance. Drama romántico. Guerra Civil Española,"6,3",Por quién doblan las campanas ,1943
Documental. Política,"6,3",En la piel de Jacques Chirac ,2006
Animación. Fantástico. Comedia. Música. Mitología. Vida rural,"6,3",Lu Over the Wall ,2017
Drama. Road Movie,"6,3",Nuestro día llegará ,2010
Western. Años 1910-1919,"6,3",Llegaron a Cordura ,1959
Drama. Cine dentro del cine. Años 1900 (circa). Años 1910-1919,"6,3","Good Morning, Babilonia ",1986
Documental. ,"6,3",Pizarro ,2016
Drama. Inmigración,"6,3",Amerrika ,2009
Aventuras. Edad Media. Siglo XVI. Secuestros / Desapariciones,"6,3",Los señores del acero ,1985
Comedia. Romance. Comedia romántica,"6,3",El príncipe y la corista ,1957
Drama. Política,"6,3",El ejercicio del poder ,2011
Drama. Cortometraje. Drama romántico,"6,3",Café para llevar (C),2014
Drama. ,"6,3",Aleksandra ,2007
Drama. Basado en hechos reales. Discapacidad. Años 70. Pintura. Alcoholismo,"6,3","No te preocupes, no llegará lejos a pie ",2018
Comedia. ,"6,3",Un americano... de Roma ,1954
Thriller. Crimen. Vida rural,"6,3",Coup de chaud ,2015
Documental. Documental sobre cine. Histórico,"6,3",De Salamanca a ninguna parte ,2002
Comedia. Drama. Biográfico,"6,3",Salomé ,1988
Comedia. Drama. ,"6,3",La edad de la ignorancia ,2007
Western. Drama. Amistad. Siglo XIX. Enfermedad. Discapacidad,"6,3",Deuda de honor ,2014
Drama. Drama de época. Melodrama. Años 20,"6,3",La luz entre los océanos ,2016
Bélico. Drama. II Guerra Mundial. Ejército. Aviones. Amistad,"6,3",Memphis Belle ,1990
Comedia. Baile. Cortometraje,"6,3",Timecode (C),2016
Drama. África. Basado en hechos reales,"6,3",Los caballeros blancos ,2015
Drama. ,"6,3",Yo ,2007
Drama. Siglo XVII,"6,3",Palabra y utopía ,2000
Drama. Intriga. Melodrama. Familia,"6,3",Tacones lejanos ,1991
Drama. ,"6,3",Sueños del desierto ,2007
Comedia. Drama. Remake. Comedia dramática. Infancia. Familia. Cine dentro del cine,"6,3",Mañana empieza todo ,2016
Acción. Aventuras. Drama. Romance. Robos & Atracos. Cine independiente USA,"6,3",La indecente Mary y Larry el loco ,1974
Documental. Inmigración. Vida rural,"6,3",Fuego en el mar ,2016
Serie de TV. Animación. Infantil. Divulgativo/Educativo,"6,3",Érase una vez... los exploradores (Serie de TV),1996
Comedia. ,"6,3",Prométeme ,2007
Documental. Inmigración. África,"6,3",La puerta de no retorno ,2011
Drama. Vejez,"6,3",El bosque del luto ,2007
Fantástico. Musical. Cuentos,"6,3",El pequeño gigante ,1958
Comedia. Intriga. Romance. Crimen. Comedia romántica,"6,3",La gran aventura de Silvia ,1935
Comedia. Drama. ,"6,3",Out of Nature ,2014
Aventuras. Siglo XVIII. América colonial,"6,3",El último mohicano ,1936
Drama. Siglo XVII. Religión. Japón feudal,"6,3",Silencio ,2016
Documental. Documental sobre música. Feminismo,"6,3",Pussy Riot: Una plegaria punk ,2013
Comedia. ,"6,3",Boeing Boeing ,1965
Comedia. ,"6,3",Las tres noches de Susana ,1954
Comedia. Fantástico. Adolescencia. Amistad,"6,3",Kamikaze Girls ,2004
Drama. Romance. Siglo XVII. Teatro,"6,3",Belleza prohibida (Stage Beauty) ,2004
Drama. Familia,"6,3",Entre los dos ,2015
Comedia. Comedia negra. Medicina,"6,3",Anatomía de un hospital ,1971
Drama. Biográfico. Pintura. Homosexualidad,"6,3",El amor es el demonio. Estudio para un retrato de Francis Bacon ,1998
Comedia. Drama. Familia. Homosexualidad. Inmigración,"6,3",Sasha ,2010
Romance. Drama. Drama romántico,"6,3",Copia certificada ,2010
Drama. Crisis económica 2008. Drama social. Trabajo/empleo,"6,3",Hermosa juventud ,2014
Drama. Años 60,"6,3",Mamá está en la peluquería ,2008
Comedia. Drama. Romance. Familia. Homosexualidad. Comedia romántica,"6,3",Tengo algo que deciros ,2010
Thriller. Intriga. Comedia. Comedia negra. Robos & Atracos. Crimen,"6,3",Obra 67 ,2013
Terror. Thriller. Siglo XVIII,"6,3","Bedlam, hospital psiquiátrico ",1946
Drama. Basado en hechos reales. Dictadura uruguaya,"6,3",Migas de pan ,2016
Drama. Comedia. ,"6,3",Nuestros adorables niños (Nuestros queridos hijos) ,2003
Drama. Drama de época. Histórico. Siglo XVII. Biográfico. Cocina,"6,3",Vatel ,2000
Drama. Guerra de Iraq,"6,3",Ahlaam (Sueños) ,2005
Drama. Infancia. Vida rural,"6,3",Miel ,2010
Drama. Melodrama,"6,3",Las razones del corazón ,2011
Romance. Drama. Erótico. Drama romántico,"6,3",Delicias turcas ,1973
Drama. Nazismo,"6,3",El hombre de la cabina de cristal ,1975
Drama. Comedia. Biográfico,"6,3",Erik Nietzsche ,2007
Bélico. Drama. II Guerra Mundial. Años 40,"6,3",1944 ,2015
Drama. Biográfico. Años 1900 (circa). Años 1910-1919. Años 20. Años 30. Años 40. Años 50. Homosexualidad,"6,3",Kinsey ,2004
Drama. Romance. Historias cruzadas,"6,3",París ,2008
Drama. Biográfico. Baile. Política,"6,3",El último bailarín de Mao ,2009
Drama. Biográfico. Años 40. Literatura. Realismo mágico,"6,3",Neruda ,2016
Romance. Drama. Drama romántico,"6,3",El corazón ausente ,2003
Drama. ,"6,3",El coronel Macià ,2006
Drama. Thriller. Política. Bolsa & Negocios. Crisis económica 2008,"6,3",El capital ,2012
Documental. Documental sobre cine. Biográfico,"6,3",El último guión. Buñuel en la memoria ,2008
Documental. Documental sobre música,"6,3",Luz de agosto en Gijón ,2017
Documental. Enseñanza. Feminismo,"6,3",Las maestras de la República ,2013
Comedia. Comedia romántica,"6,3",Cuando llegue septiembre ,1961
Comedia. Drama. Adolescencia. Naturaleza. Cine independiente USA,"6,3",Los reyes del verano ,2013
Drama. Fantástico. Animales. Surrealismo. Road Movie,"6,3",Bella y perdida ,2015
Drama. ,"6,3","Hamlet, el honor de la venganza ",1990
Comedia. Drama. ,"6,3",Millonario de ilusiones ,1959
Comedia. Musical. Años 50,"6,3",8 mujeres ,2002
Animación. Terror. Surrealismo. Cine experimental. Cortometraje (animación),"6,3",Topo glassato al cioccolato (C),2011
Drama. Familia,"6,3",Nahid ,2015
Comedia. Drama. Sátira. Comedia negra. Televisión,"6,3",Todo por un sueño ,1995
Drama. Vejez. Cortometraje,"6,3",Luisa no está en casa (C),2012
Comedia. Inmigración,"6,3",Un italiano en la Argentina ,1965
Drama. ,"6,3",Huevo ,2007
Drama. Edad Media,"6,3",Macbeth ,2015
Comedia. ,"6,3",El terror de las chicas ,1961
Animación. Thriller. Gatos,"6,3",Un gato en París ,2010
Drama. Romance. Comedia. Homosexualidad. Racismo. Inmigración,"6,3",Mi hermosa lavandería ,1985
Documental. ,"6,2",Speed: en busca del tiempo perdido ,2012
Bélico. II Guerra Mundial. Nazismo. Propaganda,"6,2",Días de gloria ,1944
Intriga. Sherlock Holmes,"6,2",Vestida para un asesinato ,1946
Drama. Biográfico. Pintura. Siglo XIX,"6,2",Mr. Turner ,2014
Intriga. Aventuras. Espionaje,"6,2",Arabesco ,1966
Drama. Romance. Melodrama. Cine dentro del cine. Discapacidad,"6,2",Los abrazos rotos ,2009
Comedia. Drama. Romance. Comedia romántica. Drama romántico,"6,2",2 días en París ,2007
Drama. ,"6,2",Rompecabezas ,2009
Intriga. Thriller. Crimen. Sherlock Holmes,"6,2",Sherlock Holmes y la mujer araña ,1944
Drama. Alcoholismo,"6,2",Factotum ,2005
Drama. ,"6,2","Baxter, Vera Baxter ",1977
Terror. Fantástico. Sobrenatural. Fantasmas. Venganza,"6,2",La niebla ,1980
Drama. ,"6,2",Vivir para vivir ,1967
Comedia. Romance. Secuela,"6,2",El padre es abuelo ,1951
Comedia. Drama. Romance. Secuela. Amistad. Familia. Comedia dramática. Comedia romántica,"6,2",Nueva vida en Nueva York ,2013
Drama. ,"6,2",Cenizas del cielo ,2008
Animación. Thriller. Drama. Crimen. Religión. Vida rural. Animación para adultos,"6,2",The Fake ,2013
Ciencia ficción. Cortometraje,"6,2",Protopartículas (C),2009
Drama. Familia,"6,2",Todo lo que tú quieras ,2010
Intriga. Terror. ,"6,2",Terror ciego ,1971
Aventuras. Drama. Cine negro. Revolución Francesa. Histórico. Siglo XVIII,"6,2",El reinado del terror ,1949
Comedia. Thriller. Comedia negra. Bodas,"6,2",Very Bad Things ,1998
Terror. Hombres lobo,"6,2",La maldición del hombre lobo ,1961
Drama. Comedia. Deporte. Fútbol. Película de episodios,"6,2",Historias de fútbol ,1997
Drama. Comedia. Amistad. Historias cruzadas. Comedia dramática,"6,2",Verano en Berlín ,2005
Aventuras. Comedia. Drama. Infancia. II Guerra Mundial. Remake,"6,2",La guerra de los botones ,2011
Documental. Mediometraje. Documental sobre música,"6,2",Las más macabras de las vidas ,2014
Drama. ,"6,2",Una película hablada ,2003
Drama. Cine negro. Crimen. Drama social,"6,2",Infierno negro ,1935
Drama. Crisis económica 2008. Pobreza,"6,2",Boy Eating the Bird's Food ,2012
Drama. Basado en hechos reales. Años 30. Política,"6,2",Jimmy's Hall ,2014
Acción. Aventuras. Drama. Thriller. Amistad. Robos & Atracos,"6,2","Adiós, amigo ",1968
Drama. Romance. Bélico. I Guerra Mundial,"6,2","Mata-Hari, agente H-21 ",1964
Romance. Drama. Nouvelle vague. Drama psicológico,"6,2",Las relaciones peligrosas ,1959
Drama. Homosexualidad. Prostitución,"6,2",Strapped ,2010
Drama. Comedia. Enfermedad. Vejez,"6,2",Una canción para Marion ,2012
Drama. Cine independiente USA,"6,2",Permanent Vacation ,1980
Western. Drama. Amistad,"6,2",Sangre en la luna ,1948
Drama. Radio. Años 80. Terrorismo,"6,2",La última noticia ,2015
Comedia. Drama. Infancia,"6,2",Abel ,2010
Drama. Thriller. Aventuras marinas,"6,2",Misterio en el barco perdido ,1959
Drama. Celos. Jazz,"6,2",Noche de pesadilla ,1962
Documental. Pintura,"6,2",El cuaderno de barro ,2011
Bélico. Drama. II Guerra Mundial. Biográfico. Holocausto,"6,2",En nombre de todos los míos ,1983
Serie de TV. Animación. Infantil. Divulgativo/Educativo,"6,2",Érase una vez... el espacio (Serie de TV),1982
Drama. Drogas. Crimen. Robos & Atracos. Cine independiente USA,"6,2",Al final del edén ,1998
Drama. Comedia. Comedia dramática. Ópera. Años 20,"6,2",Madame Marguerite ,2015
Drama. ,"6,2",A Way of Life (Un modo de vida) ,2004
Drama. Bélico. II Guerra Mundial. Infancia,"6,2",Secretos de guerra ,2014
Comedia. Drama. Romance. Amistad. Comedia dramática. Secuela,"6,2",Las muñecas rusas ,2005
Documental. Enfermedad,"6,2",Desconectados ,2010
Drama. Musical. ,"6,2",Johanna ,2005
Comedia. Musical. ,"6,2",Cómo triunfar sin dar golpe ,1967
Drama. Comedia. Road Movie,"6,2",North ,2009
Drama. Música. Años 80. Años 90. Adolescencia,"6,2",Eden: Lost in music ,2014
Intriga. Sherlock Holmes,"6,2",Sherlock Holmes: persecución en Argel ,1945
Documental. ,"6,2",La Maleta de Marta ,2013
Comedia. Secuela,"6,2",El regreso de Don Camilo ,1953
Drama. Basado en hechos reales. Años 50,"6,2",Bailar con un extraño ,1985
Acción. Manga. Secuela. Colegios & Universidad. Live-Action,"6,2",Crows II ,2009
Bélico. I Guerra Mundial. Aviones. Basado en hechos reales,"6,2",El barón rojo ,1971
Drama. Familia,"6,2",Después de nosotros ,2016
Drama. Mafia,"6,2",Gomorra ,2008
Fantástico. Drama. Infancia. Familia. Drama psicológico. Cine familiar. Secuela,"6,2",El regreso de la mujer pantera ,1944
Comedia. Drama. ,"6,2",Perro ,2017
Fantástico. Intriga. Sobrenatural. Fantasmas. Secuela,"6,2",La mujer fantasma (El regreso de Topper) ,1941
Thriller. Intriga. Thriller psicológico. Comedia negra. Cine independiente USA,"6,2",El perfecto anfitrión ,2010
Drama. Romance. Drama romántico,"6,2",En las nubes (En el séptimo cielo) ,2008
Acción. Comedia. Crimen. Yakuza & Triada. Béisbol,"6,2",Boiling Point ,1990
Documental. ,"6,2",Aguaviva ,2006
Drama. Religión,"6,2",El crimen del padre Amaro ,2002
Terror. Drama. Vampiros. Drama psicológico,"6,2",Martin ,1978
Cine negro. Thriller. Intriga. ,"6,2",Las fronteras del crimen ,1951
Intriga. Drama. ,"6,2",Nieve que quema ,1978
Drama. Comedia. Comedia negra. Vejez. Familia,"6,2",Nacidas para sufrir ,2009
Documental. Drama. Deporte. Fútbol,"6,2",O futebol ,2015
Comedia. Drama. Comedia dramática,"6,2",Silencio de amor ,2011
Drama. ,"6,2",Doble sacrificio ,1932
Drama. Siglo XIX. Drama romántico. Drama de época,"6,2",Amour Fou ,2014
Bélico. II Guerra Mundial,"6,2",Mercenarios sin gloria ,1968
Terror. Fantástico. Sobrenatural. Insectos. Película de culto,"6,2",Phenomena ,1985
Comedia. Pintura,"6,2",Las aventuras de Picasso ,1978
Drama. Drama romántico. Familia,"6,2",Perder la razón ,2012
Drama. Comedia. Comedia dramática,"6,2",Todas las mujeres ,2013
Drama. Ballet. Homosexualidad. Baile. Drama romántico,"6,2",Five Dances ,2012
Thriller. Juego. Crimen. Mafia,"6,2",Point Blank ,2016
Drama. ,"6,2",9 olas ,2013
Drama. Biográfico. Basado en hechos reales. Dictadura argentina. Años 70,"6,2",Verdades verdaderas. La vida de Estela ,2011
Documental. Documental sobre música,"6,2",Un lloc on caure mort ,2014
Comedia. Celos,"6,2",Celos a la italiana ,1964
Comedia. Años 80. Béisbol. Deporte. Colegios & Universidad. Comedia juvenil. Cine independiente USA,"6,2",Todos queremos algo ,2016
Drama. Drogas. Familia. Navidad,"6,2",El regreso de Ben ,2018
Western. Cine mudo,"6,2",El hijo de la pradera ,1925
Documental. ,"6,2",La llista Falciani ,2015
Drama. Hip Hop. Drogas. Discapacidad. Drama social. Música,"6,2",El truco del manco ,2008
Musical. Drama. Baile,"6,2",Dantza ,2018
Bélico. Drama. I Guerra Mundial. Biográfico. Histórico,"6,2",Regeneration ,1997
Documental. Histórico. Holocausto,"6,2",La nación muerta ,2017
Thriller. Crimen. Venganza. Neo-noir. Cine independiente USA,"6,2",Blue Ruin ,2013
Comedia. Cine dentro del cine,"6,2",Un espía en Hollywood ,1961
Thriller. Yakuza & Triada,"6,2",Outrage ,2010
Comedia. Drama. Comedia dramática. Familia. Infancia. Cine dentro del cine,"6,2",No se aceptan devoluciones ,2013
Bélico. II Guerra Mundial,"6,2",La brigada del diablo ,1968
Intriga. Thriller psicológico,"6,2",Hermanas ,1973
Aventuras. Animales. Perros/Lobos. Cine familiar,"6,2",Belle y Sebastián ,2013
Musical. Terror. Ballet. Vampiros. Cine mudo,"6,2",Dracula: Pages From a Virgin's Diary ,2002
Drama. Deporte. Esgrima. Años 50,"6,2",La clase de esgrima ,2015
Drama. Familia,"6,2",Tres días con la familia ,2009
Comedia. Drama. ,"6,2",Chicago Cab ,1998
Drama. ,"6,2",Inquietud ,1997
Terror. Comedia. Comedia de terror,"6,2",La comedia de los horrores ,1963
Documental. Documental sobre cine. Biográfico,"6,2","Bergman, su gran año ",2018
Drama. Bélico. Aviones,"6,2",El gran Mitchell ,1942
Bélico. II Guerra Mundial. Histórico,"6,2",La decisión del rey ,2016
Drama. Años 70,"6,2",Cartas de la guerra ,2016
Thriller. Drama. Perros/Lobos,"6,2",Red ,2008
Thriller. Política,"6,2",Sé quién eres ,2000
Ciencia ficción. Terror. Thriller. Insectos. Película de culto,"6,2",Sucesos en la cuarta fase (Sucesos en la 4ª fase) ,1974
Drama. Inmigración,"6,2",Nuevo mundo ,2006
Drama. Drama psicológico. Racismo,"6,2",La clave de la cuestión  ,1962
Drama. Bélico. Acción. Histórico. Biográfico. II Guerra Mundial,"6,2",Max Manus ,2008
Comedia. Submarinos. Guerra Fría,"6,2",¡Que vienen los rusos! ,1966
Intriga. Terror. Sherlock Holmes,"6,2",Sherlock Holmes desafía a la muerte (Desafiando la Muerte) ,1943
Acción. Manga. Colegios & Universidad. Live-Action,"6,2",Crows Zero ,2007
Drama. Comedia. Romance. Comedia romántica. Años 30,"6,2",A Good Woman ,2004
Terror. Drama. Religión. Vampiros. Enfermedad. Drama romántico,"6,2",Thirst ,2009
Documental. Cómic. Documental sobre Historia,"6,2",Historias de Bruguera ,2012
Documental. Documental sobre música. Telefilm. Biográfico,"6,2",Papagordo. En casa de Raimundo Amador (TV),2011
Animación. Terror. Perros/Lobos. Stop Motion. Animación para adultos. Cortometraje (animación),"6,2",Canis ,2013
Comedia. Drama. Biográfico. Música. Falso documental,"6,2",I'm Still Here ,2010
Animación. Infantil. Naturaleza. Animales. África. Secuela,"6,2",Kirikú y las bestias salvajes ,2005
Drama. Comedia. Comedia negra. Crisis económica 2008. Política. Teatro,"6,2",El rey tuerto ,2016
Drama. Road Movie. Historias cruzadas,"6,2",Sud Express ,2006
Romance. Comedia. Comedia romántica,"6,2",La delicadeza ,2011
Comedia. Drama. Comedia negra,"6,2",Cinco días sin Nora ,2009
Documental. Política,"6,2",Cataluña Espanya ,2009
Drama. ,"6,2",El muchacho de los cabellos verdes ,1948
Drama. ,"6,2",La vida útil ,2010
Comedia. Romance. Comedia romántica,"6,2",Usted primero ,2003
Drama. Comedia. ,"6,2",Un feliz acontecimiento ,2011
Drama. Bodas. Familia,"6,2",Llenar el vacío ,2012
Comedia. Años 1910-1919,"6,2",Inconscientes ,2004
Drama. Histórico. Terrorismo. Años 60,"6,2","Si no nosotros, ¿quién? ",2011
Drama. Secuestros / Desapariciones. Familia,"6,2","Mi hija, mi hermana ",2015
Thriller. Espionaje,"6,2",Nueva moda en el crimen ,1974
Western. Acción. Bélico. Ejército. Esclavitud. Histórico. Guerra de Secesión,"6,2",Camino de Santa Fe ,1940
Terror. Comedia. Ciencia ficción. Fantástico. Comedia de terror. Parodia. Zombis. Película de culto. Cine independiente USA,"6,2",El regreso de los muertos vivientes ,1985
Aventuras. Acción. Drama. Fantástico. Intriga. Thriller. Siglo XIV. Viajes en el tiempo,"6,2",The Navigator: Una odisea en el tiempo ,1988
Aventuras. Piratas. Siglo XVII. Aventuras marinas,"6,2",El pirata Barbanegra ,1952
Drama. ,"6,2",La sal de este mar ,2008
Western. ,"6,2",Annie Oakley ,1935
Drama. Aventuras marinas. Años 30. Nazismo,"6,2",El viaje de los malditos ,1976
Drama. Drogas,"6,2",More ,1969
Drama. ,"6,2",Las bordadoras ,2004
Bélico. Drama. Basado en hechos reales. II Guerra Mundial. Supervivencia. Histórico. Amistad. Años 40,"6,2",Perdidos en la nieve ,2012
Drama. Drogas,"6,2",Sumas y restas ,2004
Drama. Biográfico. Histórico. Siglo XVIII. Ópera,"6,2","Farinelli, il castrato ",1994
Terror. Thriller. Sobrenatural,"6,2",La autopsia de Jane Doe ,2016
Western. ,"6,2",Más allá de Río Grande ,1959
Drama. Homosexualidad,"6,2",Un monstruo en mi puerta ,2014
Drama. Thriller. Guerra de Iraq,"6,2",Route Irish ,2010
Drama. Adolescencia,"6,2",Gorriones ,2015
Drama. Vida rural,"6,2",El último viaje del juez Feng ,2006
Western. Spaghetti Western,"6,2",Keoma ,1976
Western. ,"6,2",Un rey para cuatro reinas ,1956
Serie de TV. Terror. ,"6,2",The Veil (Serie de TV),1958
Thriller. Drama. Neo-noir. Años 30. Gran Depresión. Basado en hechos reales. Familia,"6,2",Sin ley (Lawless) ,2012
Documental. Cocina,"6,2","Entre les Bras: Michel Bras, la herencia de la cocina ",2012
Drama. Historias cruzadas,"6,2",Masaan ,2015
Documental. Drama social. África. Inmigración,"6,2",Las lágrimas de África ,2015
Documental. Divulgativo/Educativo. Cocina,"6,2",How to Cook Your Life (Cómo cocinar tu vida) ,2007
Terror. Intriga. Romance. ,"6,2",Marea nocturna ,1961
Thriller. Drama. Policíaco. Crimen. África. Racismo,"6,2",Zulu ,2013
Drama. Cine experimental. Vida rural,"6,2",Arraianos ,2012
Drama. Comedia. Comedia dramática,"6,2",La buena vida ,2008
Cine negro. Thriller psicológico. Serie B,"6,2",Acosados ,1946
Documental. Crimen. Asesinos en serie,"6,2","Arropiero, el vagabundo de la muerte ",2008
Western. Venganza. Película de culto. Cine independiente USA. Serie B,"6,2",El tiroteo ,1966
Thriller. Drama. Crimen. Secuela,"6,2",Redención (Los casos del Departamento Q) ,2016
Comedia. Romance. Comedia romántica,"6,2",El doctor se casa ,1940
Drama. Amistad. Adolescencia. Familia. Cine independiente USA,"6,2",Verano en Brooklyn (Little Men) ,2016
Terror. Thriller. Siglo XIX. Gatos. Serie B,"6,2",La tumba de Ligeia ,1964
Documental. Documental sobre música,"6,2",El fulgor ,2002
Comedia. Drama. Romance. Amistad. Comedia romántica. Comedia dramática. Cine independiente USA,"6,2",El amigo de mi hermana ,2011
Drama. Película de episodios,"6,2",Centro Histórico ,2012
Comedia. Drama. Música. Adolescencia,"6,2",Aquello que amamos ,2009
Aventuras. Drama. Basado en hechos reales. Biográfico. Road Movie. Años 70,"6,2",El viaje de tu vida ,2013
Cine negro. Intriga. Romance. ,"6,2",Muerte al amanecer ,1946
Drama. Pesca. Familia,"6,2",Días de pesca en Patagonia ,2012
Romance. Cine independiente USA,"6,2",Almost in Love ,2013
Drama. Romance. Telefilm,"6,2",El Café de la Marina (TV),2014
Drama. Comedia. Biográfico,"6,2",Llámame Peter ,2004
Documental. ,"6,2",Marea humana (Human Flow) ,2017
Comedia. Drama. Familia. Comedia negra,"6,2",Eva Van End ,2012
Intriga. Thriller. Asesinos en serie. Policíaco. Homosexualidad,"6,2",A la caza ,1980
Comedia. Drama. Romance. Comedia romántica. Cine independiente USA,"6,2",Mucho ruido y pocas nueces ,2012
Intriga. Terror. Película de episodios,"6,2",Historias extraordinarias ,1968
Drama. Discapacidad,"6,2",Vivir y otras ficciones ,2016
Drama. Adolescencia. Familia. Televisión. Vida rural,"6,2",El país de las maravillas ,2014
Comedia. Drama. Adolescencia,"6,2",Podslon (Shelter) ,2010
Drama. Años 80. Terrorismo,"6,2",Una historia de locos ,2015
Terror. Thriller. Intriga. Slasher. Navidad. Asesinos en serie,"6,2",Navidades negras ,1974
Drama. Comedia dramática. Familia. Historias cruzadas. Secuela. Cine independiente USA. Abusos sexuales,"6,2",La vida en tiempos de guerra ,2009
Terror. Intriga. Sobrenatural. Casas encantadas. Fantasmas. Posesiones/Exorcismos,"6,2",La leyenda de la casa del infierno ,1973
Comedia. Fantástico. Romance. Drama. Comedia romántica. Sobrenatural,"6,2",El cielo próximamente ,1991
Comedia. Romance. Comedia romántica,"6,2",Cuidado con el mayordomo ,1967
Drama. Romance. Vida rural. Historias cruzadas. Realismo mágico,"6,1",Obaba ,2005
Drama. Romance. Homosexualidad. Amistad. Drogas. Años 90. Drama romántico. Cine independiente USA,"6,1",Keep the Lights On ,2012
Documental. ,"6,1","Cola, Colita, Colassa (Oda a Barcelona) ",2015
Documental. Política,"6,1",Viva Zapatero! ,2005
Thriller. Yakuza & Triada. Secuela,"6,1",Outrage 2 ,2012
Bélico. II Guerra Mundial. Biográfico,"6,1",La batalla por Sebastopol ,2015
Aventuras. Drama. Supervivencia. Años 1910-1919. Basado en hechos reales,"6,1",Nadie quiere la noche ,2015
Drama. Romance. Drama de época. Homosexualidad. Alcoholismo,"6,1",Retorno a Brideshead ,2008
Comedia. Medicina. Comedia absurda,"6,1",Caso clínico en la clínica ,1964
Documental. ,"6,1",Los amores difíciles ,2012
Drama. Naturaleza. Animales,"6,1",Una amistad inolvidable ,2007
Romance. Drama. Drama romántico,"6,1",Take This Waltz ,2011
Drama. Basado en hechos reales. Biográfico. Discapacidad. Discapacidad auditiva,"6,1",La voz del interior (Music Within) ,2007
Comedia. Secuela,"6,1",Don Camilo monseñor pero no tanto ,1961
Drama. Drama romántico,"6,1",El amor manda ,1938
Drama. Periodismo. Basado en hechos reales. Años 90,"6,1",El precio de la verdad ,2003
Comedia. Drama. África. Comedia dramática,"6,1",Mi tierra ,2013
Drama. Thriller. Crimen. Policíaco. Abusos sexuales. Thriller psicológico,"6,1",Silencio de hielo ,2010
Drama. Homosexualidad. Cine independiente USA. Inmigración,"6,1",Mala noche ,1985
Bélico. II Guerra Mundial,"6,1",Puente de mando ,1949
Drama. Drama carcelario. Adolescencia,"6,1",Dog Pound (La perrera) ,2010
Comedia. Musical. Adopción,"6,1",Yo soy el padre y la madre ,1958
Drama. Medicina,"6,1",El doctor Arrowsmith ,1931
Aventuras. ,"6,1","Yo, Viernes ",1975
Drama. Drama romántico. Siglo XVIII. Telefilm,"6,1",La abadía de Northanger (TV),2007
Intriga. Terror. Ciencia ficción. Casas encantadas. Familia,"6,1",La casa del fin de los tiempos ,2013
Thriller. Acción. Buddy Film,"6,1",16 calles ,2006
Drama. Boxeo. SIDA. Años 80,"6,1",El acompañante ,2015
Romance. Drama. Drama romántico. Discapacidad,"6,1",Gabrielle ,2013
Acción. Crimen. Mafia,"6,1",Lucky Luciano ,1973
Drama. Crimen. Años 60,"6,1",Kim Novak nunca estuvo aquí ,2005
Aventuras. Drama. Animales. Naturaleza. África. Basado en hechos reales,"6,1",Nacida libre ,1966
Acción. Drama. Thriller. Crimen. Blaxploitation,"6,1",Coffy ,1973
Fantástico. Drama. Siglo XVIII. Surrealismo,"6,1",El afinador de terremotos ,2005
Drama. Basado en hechos reales. Biográfico. Baile. Ballet,"6,1",El bailarín del desierto ,2015
Comedia. Drama. Teatro,"6,1",Vete de mí ,2006
