Description,Rate,Titles,Year
Drama. Familia,"7,9",El sabor del sake ,1962
Documental. Naturaleza. Animales. Documental científico,"7,9","Tierra, la película de nuestro planeta ",2007
Comedia. Romance. Comedia romántica,"7,9",Bola de fuego ,1941
Ciencia ficción. Fantástico. Mediometraje. Viajes en el tiempo. Holocausto nuclear. Cine experimental. Futuro postapocalíptico,"7,9",El muelle (La Jetée) ,1962
Thriller. Intriga. Secuestros / Desapariciones. Venganza. Manga. Película de culto. Live-Action,"7,9",Oldboy ,2003
Drama. Inmigración,"7,9","América, América ",1963
Drama. Comedia. Infancia. Familia. Cine mudo,"7,9","He nacido, pero... (Y sin embargo hemos nacido) ",1932
Drama. Fantástico. Cine mudo,"7,9",La carreta fantasma ,1921
Drama. Drama carcelario. Pájaros. Años 1910-1919. Años 20. Años 50. Basado en hechos reales,"7,9",El hombre de Alcatraz ,1962
Fantástico. Drama. Romance. Película de episodios. Cine mudo. Expresionismo alemán,"7,9",La muerte cansada ,1921
Comedia. Drama. II Guerra Mundial. Años 60. Guerra de los Balcanes. Familia. Cine dentro del cine. Realismo mágico. Comedia dramática. Comedia negra. Sátira,"7,9",Underground ,1995
Comedia. Comedia romántica. Comedia sofisticada,"7,9",Medianoche ,1939
Comedia. Robos & Atracos. Crimen,"7,9",Rufufú ,1958
Drama. Revolución Cubana. Película de episodios. Propaganda,"7,9",Soy Cuba ,1964
Comedia. Familia. Remake,"7,9",Buenos días ,1959
Drama. Melodrama. Cine mudo,"7,9",El séptimo cielo ,1927
Drama. Drama psicológico. Remake. Homosexualidad,"7,9",La calumnia ,1961
Drama. Cine mudo. Revolución Rusa. Política. Propaganda,"7,9",Octubre ,1927
Intriga. Drama. II Guerra Mundial. Trenes/Metros. Nazismo. Pintura,"7,9",El tren ,1964
Documental. Cine experimental,"7,9",Sin sol (Sans soleil) ,1983
Drama. Familia. Melodrama. Pobreza,"7,9",El mundo sigue ,1963
Drama. Cine mudo. Película de episodios,"7,9",Intolerancia ,1916
Serie de TV. Drama. Años 20,"7,9",Berlin Alexanderplatz (Serie de TV),1980
Drama. Road Movie. Película de culto,"7,9","Paris, Texas ",1984
Western. Amistad,"7,8",Río Rojo ,1948
Documental. Crimen. Documental sobre Historia. Historia de Indonesia,"7,8",La mirada del silencio ,2014
Animación. Drama. Animación para adultos. Cómic. Biográfico. Años 90. Feminismo,"7,8",Persépolis ,2007
Drama. Melodrama. Años 20,"7,8",El ángel azul ,1930
Drama. Romance. Drama psicológico. Drama romántico,"7,8",La noche ,1961
Drama. Amistad. Infancia. Años 40. II Guerra Mundial,"7,8","Adiós, muchachos ",1987
Comedia. ,"7,8",En bandeja de plata ,1966
Drama. Biográfico. Siglo XIX. Pintura. Telefilm,"7,8",Edvard Munch (TV),1974
Thriller. Intriga. Drama. Robos & Atracos. Película de culto,"7,8",Nueve reinas ,2000
Western. Drama. Película de culto,"7,8",Johnny Guitar ,1954
Drama. Crimen. Bandas/pandillas callejeras. Película de culto,"7,8",El odio ,1995
Comedia. Cine mudo,"7,8",El héroe del río ,1928
Fantástico. Aventuras. Drama. Secuela. Espada y brujería. Expresionismo alemán. Cine mudo,"7,8",Los Nibelungos: la venganza de Krimilda (Los Nibelungos Parte II) ,1924
Drama. Dogma. Familia,"7,8",Celebración ,1998
Documental. ,"7,8",Milestones ,1975
Drama. Política. Crimen. Basado en hechos reales,"7,8",Z. ,1969
Comedia. Cine mudo. Mediometraje,"7,8",El navegante ,1924
Drama. Cine mudo. Revolución Rusa. Cine dentro del cine,"7,8",La última orden ,1928
Drama. ,"7,8",No amarás ,1988
Drama. Bélico. II Guerra Mundial. Infancia,"7,8",Juegos prohibidos ,1952
Drama. II Guerra Mundial. Holocausto. Nueva Ola Checoslovaca,"7,8",La tienda en la calle mayor ,1965
Drama. Enfermedad. Familia,"7,8",Gritos y susurros ,1972
Drama. Romance. Aventuras. Cine mudo,"7,8",Tabú ,1931
Comedia. Drama. Bélico. I Guerra Mundial,"7,8",La gran guerra ,1959
Drama. Romance. Drama romántico. Colonialismo,"7,8",El río ,1951
Drama. Comedia. Periodismo. Cine dentro del cine,"7,8",La dolce vita ,1960
Drama. Vejez. Road Movie. Basado en hechos reales. Película de culto. Cine independiente USA,"7,8",Una historia verdadera ,1999
Drama. Drama psicológico. Familia. Enfermedad,"7,8",El silencio ,1963
Comedia. Drama. Road Movie. Sátira. Comedia dramática. Película de culto,"7,8",La escapada ,1962
Drama. Nouvelle vague. Prostitución. Cine experimental. Película de culto,"7,8",Vivir su vida ,1962
Documental. Crimen. Documental sobre Historia. Historia de Indonesia,"7,8",The Act of Killing ,2012
Terror. Intriga. Sobrenatural. Casas encantadas. Fantasmas,"7,8",Suspense ,1961
Animación. Fantástico. Aventuras. Comedia. Infancia. Familia. Cine familiar. Pixar. 3-D,"7,8",Del revés (Inside Out) ,2015
Drama. ,"7,8",Flores de equinoccio ,1958
Drama. Prostitución. Neorrealismo,"7,8",Mamma Roma ,1962
Drama. Nouvelle vague. Alcoholismo. Drama psicológico,"7,8",El fuego fatuo ,1963
Drama. Drama psicológico. Película de culto,"7,8",Sacrificio ,1986
Bélico. Drama. I Guerra Mundial. Cine mudo,"7,8",El gran desfile ,1925
Drama. ,"7,8",Tres colores: Rojo ,1994
Drama. Enfermedad. Familia. Literatura,"7,8",Como en un espejo ,1961
Drama. ,"7,8",Otoño tardío (Fin de otoño) ,1960
Documental. Biográfico,"7,8",Bukowski: Born into This ,2003
Drama. Romance. Fantástico. Drama romántico. Pintura,"7,8",Jennie ,1948
Romance. Drama. Drama romántico,"7,8",Hierro 3 ,2004
